,aspd,attack_max,attack_min,base_exp,def_left,def_right,elem_air,elem_angin,elem_api,elem_ghost,elem_holy,elem_netral,elem_racun,elem_shadow,elem_tanah,elem_undead,element,hp,job_exp,level,mdef_left,mdef_right,move_speed,mvp_exp,name,param_100_hit,param_95_flee,param_agi,param_dex,param_int,param_luk,param_str,param_vit,race,range_attack,range_chase,range_sight,size,url
21,0.73,348,288,3706,64,72,60,-50,100,25,75,100,75,75,200,25,Angin 4,12450,2362,57,76,121,10.0,0,Joker (1131/Joker/JOKER),363,369,99,77,50,35,84,30,Demi-Human,1,10,12,Besar,https://db.idrowiki.org/klasik/monster/1131-JOKER
22,0.85,255,218,1408,90,59,175,100,0,75,100,100,125,100,80,75,Api 2,3581,880,38,25,72,5.0,0,Jakk (1130/Jakk/JAKK),284,328,43,55,25,15,58,42,Formless,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1130-JAKK
23,0.53,332,262,786,84,51,200,100,-50,25,75,100,75,75,60,25,Api 4,1939,479,34,35,87,2.5,0,Horong (1129/Horong/HORONG),271,325,32,56,45,25,36,35,Formless,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1129-HORONG
24,1.89,833,737,4378,125,83,100,100,125,100,150,100,-25,-25,100,0,Undead 1,19276,2750,63,10,109,2.86,0,Khalitzburg (1132/Khalitzburg/KHALITZBURG),317,387,48,89,31,32,121,40,Undead,1,10,12,Besar,https://db.idrowiki.org/klasik/monster/1132-KHALITZBURG
25,0.64,40,33,287,16,29,150,100,25,100,100,100,125,100,90,100,Api 1,1109,176,24,5,35,5.0,0,Scorpion (1001/Scorpion/SCORPION),240,278,15,19,5,5,12,10,Insect,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1001-SCORPION
26,0.97,626,539,988,103,66,80,0,100,75,100,100,125,100,175,75,Angin 2,3893,625,36,25,98,6.67,0,Kobold (1133/Kobold/KOBOLD_1),318,353,76,82,53,30,109,61,Demi-Human,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1133-KOBOLD_1
27,0.53,9,8,2,2,1,25,175,90,100,100,100,100,100,100,100,Air 1,50,1,1,5,1,2.5,0,Poring (1002/Poring/PORING),203,242,1,6,0,5,6,1,Plant,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1002-PORING
28,0.77,16,13,19,7,10,90,25,100,100,100,100,125,100,150,100,Angin 1,169,15,8,1,15,6.67,0,Hornet (1004/Hornet/HORNET),233,249,24,6,5,5,12,4,Insect,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1004-HORNET
29,0.78,77,68,28,26,18,100,100,100,75,125,100,50,0,100,0,Darkness 1,155,15,8,5,15,6.67,0,Familiar (1005/Familiar/FARMILIAR),227,263,19,20,5,1,15,20,Beast,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1005-FARMILIAR
30,0.6,15,12,3,24,4,100,90,150,100,100,100,125,100,25,100,Tanah 1,63,2,2,0,7,2.5,0,Fabre (1007/Fabre/FABRE),208,249,5,12,5,5,12,5,Insect,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1007-FABRE
31,1.0,4,1,2,24,3,100,90,150,100,100,100,125,100,25,100,Tanah 1,427,4,2,2,5,1.0,0,Pupa (1008/Pupa/PUPA),204,245,1,8,3,6,11,3,Insect,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1008-PUPA
32,0.87,20,14,6,7,8,90,25,100,100,100,100,125,100,150,100,Angin 1,92,5,5,5,6,6.67,0,Condor (1009/Condor/CONDOR),213,253,7,13,0,5,14,6,Beast,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1009-CONDOR
33,0.93,14,11,5,27,6,90,25,100,100,100,100,125,100,150,100,Angin 1,67,4,4,0,5,5.0,0,Chonchon (1011/Chonchon/CHONCHON),209,247,4,8,0,5,13,4,Insect,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1011-CHONCHON
34,0.6,18,13,5,38,8,100,90,150,100,100,100,125,100,25,100,Tanah 1,95,4,4,2,10,5.0,0,Willow (1010/Willow/WILOW),208,251,3,12,5,5,13,8,Plant,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1010-WILOW
35,0.5,23,19,6,12,7,25,175,90,100,100,100,100,100,100,100,Air 1,133,5,5,5,6,5.0,0,Roda Frog (1012/Roda Frog/RODA_FROG),212,254,6,14,0,9,12,4,Fish,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1012-RODA_FROG
36,0.95,91,80,329,55,40,100,90,150,100,100,100,125,100,25,100,Tanah 1,919,199,25,3,46,5.0,0,Wolf (1013/Wolf/WOLF),250,293,24,33,15,5,27,30,Beast,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1013-WOLF
37,0.53,33,25,66,12,21,25,175,90,100,100,100,100,100,100,100,Air 1,510,108,16,10,20,5.0,0,Spore (1014/Spore/SPORE),221,263,5,12,0,0,15,10,Plant,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1014-SPORE
38,0.38,50,38,50,20,23,100,100,125,100,150,100,-25,-25,100,0,Undead 1,534,33,15,3,18,2.5,0,Zombie (1015/Zombie/ZOMBIE),223,265,8,15,0,0,15,17,Undead,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1015-ZOMBIE
39,0.88,62,61,105,28,16,90,25,100,100,100,100,125,100,150,100,Angin 1,595,70,16,20,20,6.67,0,Creamy (1018/Creamy/CREAMY),221,252,1,1,0,20,16,1,Insect,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1018-CREAMY
40,0.35,113,90,483,47,41,100,100,125,100,150,100,-25,-25,100,0,Undead 1,3040,283,31,10,48,3.33,0,Archer Skeleton (1016/Archer Skeleton/ARCHER_SKELETON),261,298,29,32,10,5,30,20,Undead,9,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1016-ARCHER_SKELETON
41,0.64,83,76,159,48,25,150,100,25,100,100,100,125,100,90,100,Api 1,531,72,19,0,28,5.0,0,Peco Peco (1019/Peco Peco/PECOPECO),230,282,10,28,5,5,21,13,Beast,1,10,12,Besar,https://db.idrowiki.org/klasik/monster/1019-PECOPECO
42,0.57,23,20,45,13,14,100,70,200,50,100,100,100,100,-25,50,Tanah 3,405,32,12,2,20,1.0,0,Mandragora (1020/Mandragora/MANDRAGORA),216,257,3,10,5,5,12,5,Plant,4,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1020-MANDRAGORA
43,0.54,104,71,408,52,36,100,90,150,100,100,100,125,100,25,100,Tanah 1,1400,160,24,3,45,5.0,0,Orc Warrior (1023/Orc Warrior/ORK_WARRIOR),241,275,15,16,15,10,32,24,Demi-Human,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1023-ORK_WARRIOR
44,0.95,27,22,59,16,21,100,90,150,100,100,100,125,100,25,100,Tanah 1,426,40,14,0,22,5.0,0,Wormtail (1024/Wormtail/WORM_TAIL),227,261,6,12,5,35,10,14,Plant,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1024-WORM_TAIL
45,0.44,98,84,372,53,45,100,100,125,100,150,100,-25,-25,100,0,Undead 1,2334,226,29,5,41,5.0,0,Soldier Skeleton (1028/Soldier Skeleton/SOLDIER_SKELETON),239,293,10,29,5,3,14,32,Undead,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1028-SOLDIER_SKELETON
46,0.63,28,23,72,9,24,100,90,150,100,100,100,125,100,25,100,Tanah 1,471,48,15,8,28,5.0,0,Boa (1025/Boa/SNAKE),226,264,8,14,10,15,10,18,Beast,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1025-SNAKE
47,0.41,205,175,601,77,42,100,100,125,100,150,100,-25,-25,100,0,Undead 1,2872,318,30,15,47,5.0,0,Munak (1026/Munak/MUNAK),241,295,9,30,10,10,53,25,Undead,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1026-MUNAK
48,0.72,229,192,3709,83,58,100,100,100,75,125,100,50,0,100,0,Darkness 1,7003,1550,47,5,63,5.0,0,Isis (1029/Isis/ISIS),293,321,43,39,5,15,58,22,Demon,1,10,12,Besar,https://db.idrowiki.org/klasik/monster/1029-ISIS
49,0.6,94,74,81,36,24,100,100,100,100,100,100,0,50,100,50,Racun 1,344,44,14,17,35,3.33,0,Poporing (1031/Poporing/POPORING),241,285,26,36,18,5,17,20,Plant,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1031-POPORING
50,0.63,443,388,300,92,37,100,100,100,100,100,100,0,50,100,50,Racun 1,1109,149,23,0,71,5.0,0,Anacondaq (1030/Anacondaq/ANACONDAQ),274,314,46,56,43,25,79,28,Beast,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1030-ANACONDAQ
51,0.98,1597,630,32175,269,125,100,100,100,0,100,100,100,100,100,100,Netral 3,188000,16445,69,98,173,5.0,16087,Phreeoni (1159/Phreeoni/PHREEONI),353,406,70,102,87,71,88,112,Beast,1,10,12,Besar,https://db.idrowiki.org/klasik/monster/1159-PHREEONI
52,0.78,67,47,122,57,36,100,90,150,100,100,100,125,100,25,100,Tanah 1,733,78,18,16,30,5.0,0,Piere (1160/Piere/PIERE),240,280,19,27,8,15,19,36,Insect,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1160-PIERE
53,0.45,111,75,23,28,22,-25,200,70,50,100,100,50,100,100,50,Air 3,354,18,10,28,67,2.5,0,Plankton (1161/Plankton/PLANKTON),265,280,53,35,55,14,23,25,Plant,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1161-PLANKTON
54,1.95,336,295,333,86,39,100,90,150,100,100,100,125,100,25,100,Tanah 1,1333,333,17,2,50,6.67,0,Rafflesia (1162/Rafflesia/RAFFLESIA),264,317,41,65,29,31,47,44,Plant,3,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1162-RAFFLESIA
55,1.21,668,572,3410,89,79,75,75,75,50,150,100,25,-25,75,0,Darkness 2,8613,1795,52,15,97,6.67,0,Raydric (1163/Raydric/RAYDRIC),344,363,87,76,32,27,129,55,Demi-Human,1,10,12,Besar,https://db.idrowiki.org/klasik/monster/1163-RAYDRIC
56,0.6,212,156,810,126,61,100,70,200,50,100,100,100,100,-25,50,Tanah 3,3413,492,34,24,57,4.0,0,Sandman (1165/Sandman/SAND_MAN),247,300,8,31,15,25,44,55,Formless,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1165-SAND_MAN
57,0.66,364,316,800,88,52,100,100,100,75,125,100,50,0,100,0,Darkness 1,3089,458,35,20,55,2.5,0,Requiem (1164/Requiem/REQUIEM),271,312,34,42,12,10,58,35,Demi-Human,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1164-REQUIEM
58,0.51,195,172,521,126,53,100,80,175,75,100,100,125,100,0,75,Tanah 2,2092,248,26,3,42,6.67,0,Savage (1166/Savage/SAVAGE),250,308,21,47,10,15,56,54,Beast,1,10,12,Besar,https://db.idrowiki.org/klasik/monster/1166-SAVAGE
59,0.62,25,19,14,22,11,100,90,150,100,100,100,125,100,25,100,Tanah 1,182,12,7,0,13,2.5,0,Savage Babe (1167/Savage Babe/SAVAGE_BABE),218,263,8,21,5,18,16,9,Beast,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1167-SAVAGE_BABE
60,0.41,104,92,397,45,41,100,100,125,100,150,100,-25,-25,100,0,Undead 1,2872,240,30,5,47,2.5,0,Skeleton Worker (1169/Skeleton Worker/SKEL_WORKER),248,302,13,37,10,25,30,22,Undead,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1169-SKEL_WORKER
61,0.59,74,65,105,22,28,90,25,100,100,100,100,125,100,150,100,Angin 1,538,70,16,25,20,5.0,0,Stainer (1174/Stainer/STAINER),229,290,10,39,0,15,10,24,Insect,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1174-STAINER
62,0.47,199,169,739,61,47,25,175,90,100,100,100,100,100,100,100,Air 1,5628,455,33,21,61,4.0,0,Sohee (1170/Sohee/SOHEE),262,305,24,37,20,25,61,29,Demon,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1170-SOHEE
63,0.57,78,72,57,23,17,100,100,100,75,125,100,50,0,100,0,Darkness 1,284,28,11,5,13,6.67,0,Tarou (1175/Tarou/TAROU),217,256,6,10,0,1,21,12,Beast,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1175-TAROU
64,0.85,154,130,967,69,41,100,100,100,75,125,100,50,0,100,0,Darkness 1,2585,407,31,5,43,6.67,0,Zenorc (1177/Zenorc/ZENORC),250,291,18,25,5,5,50,20,Demi-Human,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1177-ZENORC
65,0.57,86,68,163,44,32,100,90,150,100,100,100,125,100,25,100,Tanah 1,894,101,20,12,45,3.33,0,Vitata (1176/Vitata/VITATA),232,276,11,21,20,5,20,24,Insect,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1176-VITATA
66,0.51,120,65,591,20,44,100,100,100,175,100,0,50,100,100,100,Ghost 3,1796,599,34,40,77,6.67,0,Whisper (1179/Whisper/WHISPER),286,321,48,52,35,20,32,20,Demon,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1179-WHISPER
67,0.56,350,312,240,93,38,150,100,25,100,100,100,125,100,90,100,Api 1,1109,149,23,15,43,5.0,0,Zerom (1178/Zerom/ZEROM),276,314,49,56,15,20,57,30,Demi-Human,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1178-ZEROM
68,1.19,496,446,2812,95,66,200,100,-25,50,100,100,100,100,70,50,Api 3,7766,825,51,40,83,6.67,0,Nine Tail (1180/Nine Tail/NINE_TAIL),299,374,38,88,20,50,61,30,Beast,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1180-NINE_TAIL
69,1000.0,2,1,0,160,1,100,90,150,100,100,100,125,100,25,100,Tanah 1,15,0,1,99,1,0.5,0,Thief Mushroom (1182/Thief Mushroom/THIEF_MUSHROOM),201,236,0,0,0,0,0,0,Plant,1,7,12,Kecil,https://db.idrowiki.org/klasik/monster/1182-THIEF_MUSHROOM
70,0.93,14,11,5,29,6,90,25,100,100,100,100,125,100,150,100,Angin 1,67,4,4,0,5,5.0,0,Chonchon (1183/Chonchon/CHONCHON_),209,246,4,7,0,5,13,4,Insect,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1183-CHONCHON_
71,0.51,239,198,537,0,41,100,100,100,125,100,70,100,100,100,100,Ghost 1,1796,545,34,45,42,6.67,0,Whisper (1185/Whisper/WHISPER_),285,329,51,60,0,0,1,14,Undead,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1185-WHISPER_
72,0.6,7,4,1,0,1,100,90,150,100,100,100,125,100,25,100,Tanah 1,30,0,1,0,2,2.5,0,Fabre (1184/Fabre/FABRE_),204,240,2,4,1,5,1,1,Insect,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1184-FABRE_
73,0.39,341,282,537,94,56,100,100,100,150,100,50,75,100,100,100,Ghost 2,5040,545,34,45,93,4.0,0,Giant Whisper (1186/Giant Whisper/WHISPER_BOSS),319,336,79,67,51,31,40,44,Demon,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1186-WHISPER_BOSS
74,0.58,218,189,424,88,44,100,100,125,100,150,100,-25,-25,100,0,Undead 1,3520,242,32,5,45,5.0,0,Bongun (1188/Bongun/BON_GUN),258,301,24,34,5,10,55,24,Undead,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1188-BON_GUN
75,0.51,303,260,1729,67,61,100,90,150,100,100,100,125,100,25,100,Tanah 1,7440,1787,49,31,91,3.33,0,Orc Archer (1189/Orc Archer/ORC_ARCHER),284,383,32,99,30,15,55,24,Demi-Human,9,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1189-ORC_ARCHER
76,0.59,228,187,241,72,27,150,100,25,100,100,100,125,100,90,100,Api 1,926,152,22,12,27,5.0,0,Metaller (1058/Metaller/METALLER),252,304,24,47,0,31,52,10,Insect,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1058-METALLER
77,0.87,2352,985,39325,187,118,60,-50,100,25,75,100,75,75,200,25,Angin 4,212000,27170,74,192,205,10.0,19662,Mistress (1059/Mistress/MISTRESS),475,481,186,172,113,79,76,88,Insect,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1059-MISTRESS
78,0.79,62,50,310,55,28,100,90,150,100,100,100,125,100,25,100,Tanah 1,1619,188,25,7,31,3.33,0,Bigfoot (1060/Bigfoot/BIGFOOT),229,272,4,12,0,0,18,7,Beast,1,10,12,Besar,https://db.idrowiki.org/klasik/monster/1060-BIGFOOT
79,0.55,345,283,1912,116,59,100,100,100,175,100,0,50,100,100,100,Ghost 3,4437,1912,49,15,76,6.67,0,Nightmare (1061/Nightmare/NIGHTMARE),284,354,32,70,15,15,57,20,Demon,1,10,12,Besar,https://db.idrowiki.org/klasik/monster/1061-NIGHTMARE
80,0.6,16,12,4,0,4,75,75,75,75,0,100,75,125,75,100,Holy 1,69,5,3,0,13,2.5,0,Santa Poring (1062/Santa Poring/PORING_),235,250,14,12,10,90,1,3,Plant,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1062-PORING_
81,0.69,12,11,6,18,4,100,100,100,0,100,100,100,100,100,100,Netral 3,60,2,3,0,3,5.0,0,Lunatic (1063/Lunatic/LUNATIC),207,246,3,8,0,5,10,3,Beast,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1063-LUNATIC
82,0.4,149,117,215,52,39,100,100,125,100,150,100,-25,-25,100,0,Undead 1,1648,132,24,28,58,5.0,0,Megalodon (1064/Megalodon/MEGALODON),251,288,24,29,28,15,35,30,Undead,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1064-MEGALODON
83,0.53,192,162,3080,67,63,-25,200,70,50,100,100,50,100,100,50,Air 3,11990,2098,48,21,80,6.67,0,Strouf (1065/Strouf/STROUF),268,316,16,33,20,20,49,31,Fish,1,10,12,Besar,https://db.idrowiki.org/klasik/monster/1065-STROUF
84,0.8,126,79,240,42,45,25,175,90,100,100,100,100,100,100,100,Air 1,1620,149,23,28,54,5.0,0,Cornutus (1067/Cornutus/CORNUTUS),253,285,27,27,26,15,32,45,Fish,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1067-CORNUTUS
85,0.61,103,78,135,54,33,25,175,90,100,100,100,100,100,100,100,Air 1,1017,85,19,21,43,3.33,0,Vadon (1066/Vadon/VADON),243,287,21,33,20,15,35,28,Fish,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1066-VADON
86,1.25,41,35,59,20,21,0,175,80,75,100,100,75,100,100,75,Air 2,660,40,14,32,17,1.0,0,Hydra (1068/Hydra/HYDRA),223,284,9,35,0,2,10,14,Plant,7,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1068-HYDRA
87,0.51,184,149,1251,52,42,0,175,80,75,100,100,75,100,100,75,Air 2,4299,638,30,12,52,5.0,0,Swordfish (1069/Swordfish/SWORD_FISH),289,305,56,40,15,15,50,25,Fish,1,10,12,Besar,https://db.idrowiki.org/klasik/monster/1069-SWORD_FISH
88,0.57,125,105,233,53,37,100,100,125,100,150,100,-25,-25,100,0,Undead 1,1676,142,25,20,46,5.0,0,Pirate Skeleton (1071/Pirate Skeleton/PIRATE_SKEL),252,290,25,30,15,10,35,25,Undead,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1071-PIRATE_SKEL
89,0.56,93,65,38,33,22,25,175,90,100,100,100,100,100,100,100,Air 1,507,28,11,23,33,6.67,0,Kukre (1070/Kukre/KUKRE),245,278,30,32,20,20,25,22,Fish,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1070-KUKRE
90,0.59,728,504,3990,106,87,200,100,-50,25,75,100,75,75,60,25,Api 4,8409,450,60,55,140,6.67,0,Kaho (1072/Kaho/KAHO),335,361,61,66,65,73,81,55,Demon,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1072-KAHO
91,1.16,92,70,66,43,39,25,175,90,100,100,100,100,100,100,100,Air 1,920,44,15,5,43,5.0,0,Shellfish (1074/Shellfish/SHELLFISH),228,276,11,26,25,10,42,48,Fish,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1074-SHELLFISH
92,1.01,79,69,163,36,32,25,175,90,100,100,100,100,100,100,100,Air 1,2451,101,20,11,32,5.0,0,Crab (1073/Crab/CRAB),237,283,14,28,7,15,22,24,Fish,1,7,12,Kecil,https://db.idrowiki.org/klasik/monster/1073-CRAB
93,0.45,102,78,18,21,25,100,100,125,100,150,100,-25,-25,100,0,Undead 1,234,14,10,2,17,5.0,0,Skeleton (1076/Skeleton/SKELETON),225,264,15,19,5,1,24,30,Undead,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1076-SKELETON
94,0.6,83,68,186,40,30,100,100,100,100,100,100,0,50,100,50,Racun 1,665,93,19,8,28,5.0,0,Poison Spore (1077/Poison Spore/POISON_SPORE),237,274,17,20,5,5,19,22,Plant,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1077-POISON_SPORE
95,1000.0,2,1,0,100,1,100,90,150,100,100,100,125,100,25,100,Tanah 1,10,0,1,99,1,0.5,0,Blue Plant (1079/Blue Plant/BLUE_PLANT),201,236,0,0,0,0,0,0,Plant,1,7,12,Kecil,https://db.idrowiki.org/klasik/monster/1079-BLUE_PLANT
96,1000.0,2,1,0,100,1,75,75,75,75,0,100,75,125,75,100,Holy 1,20,0,1,99,1,0.5,0,Shining Plant (1083/Shining Plant/SHINING_PLANT),219,236,0,0,0,90,0,0,Plant,1,7,12,Kecil,https://db.idrowiki.org/klasik/monster/1083-SHINING_PLANT
